,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
14118,35,services,single,primary,no,167,no,yes,cellular,11,jul,614,2,-1,0,unknown
14149,60,retired,divorced,secondary,no,1099,no,no,cellular,11,jul,764,2,-1,0,unknown
14150,60,management,married,tertiary,no,2222,yes,no,cellular,11,jul,1120,2,-1,0,unknown
14153,29,management,single,tertiary,no,983,yes,no,cellular,11,jul,963,2,-1,0,unknown
14155,55,management,divorced,secondary,no,204,yes,no,cellular,11,jul,1973,2,-1,0,unknown
14160,33,management,single,unknown,no,1534,yes,no,cellular,11,jul,1041,2,-1,0,unknown
14203,44,admin.,married,secondary,no,1074,yes,no,cellular,11,jul,911,2,-1,0,unknown
14217,47,technician,married,secondary,no,3466,yes,no,cellular,11,jul,853,2,-1,0,unknown
14221,35,admin.,married,secondary,no,-203,yes,no,cellular,11,jul,1649,2,-1,0,unknown
14222,53,admin.,divorced,unknown,no,257,no,no,cellular,11,jul,1310,2,-1,0,unknown
14297,35,entrepreneur,married,secondary,no,2436,no,yes,cellular,14,jul,1397,3,-1,0,unknown
14319,43,management,married,tertiary,no,0,no,no,cellular,14,jul,1153,3,-1,0,unknown
14353,38,technician,married,secondary,no,976,yes,no,cellular,14,jul,766,3,-1,0,unknown
14364,34,entrepreneur,married,tertiary,no,146,yes,no,cellular,14,jul,788,2,-1,0,unknown
14384,50,technician,married,secondary,no,156,no,yes,cellular,14,jul,1130,3,-1,0,unknown
14398,43,admin.,married,tertiary,no,189,yes,no,cellular,14,jul,1062,4,-1,0,unknown
14423,44,admin.,divorced,secondary,no,163,yes,no,cellular,14,jul,1669,2,-1,0,unknown
14450,51,services,divorced,secondary,no,242,no,yes,cellular,14,jul,1336,4,-1,0,unknown
14456,31,technician,married,secondary,no,1173,yes,no,cellular,14,jul,444,3,-1,0,unknown
14484,39,technician,married,tertiary,no,0,yes,no,cellular,14,jul,894,7,-1,0,unknown
14519,59,management,married,tertiary,no,296,no,yes,cellular,15,jul,805,3,-1,0,unknown
14560,45,admin.,married,secondary,no,0,no,yes,telephone,15,jul,533,3,-1,0,unknown
14562,25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown
14569,58,management,married,tertiary,no,3864,yes,no,cellular,15,jul,815,4,-1,0,unknown
14591,30,entrepreneur,married,primary,no,2686,yes,no,cellular,15,jul,808,3,-1,0,unknown
14619,34,blue-collar,single,primary,no,-109,yes,no,cellular,15,jul,860,4,-1,0,unknown
14638,45,blue-collar,divorced,primary,no,-207,no,no,cellular,15,jul,878,2,-1,0,unknown
14643,51,services,divorced,secondary,no,65,no,yes,cellular,15,jul,881,1,-1,0,unknown
14645,60,retired,married,secondary,no,597,no,no,cellular,15,jul,981,1,-1,0,unknown
14648,32,management,divorced,tertiary,no,222,no,yes,cellular,15,jul,820,4,-1,0,unknown
14649,51,entrepreneur,married,secondary,no,-799,no,yes,cellular,15,jul,1001,3,-1,0,unknown
14667,37,management,divorced,tertiary,no,1775,no,no,cellular,15,jul,514,5,-1,0,unknown
14682,30,blue-collar,single,primary,no,0,no,no,cellular,15,jul,716,3,-1,0,unknown
14685,41,blue-collar,divorced,primary,no,664,no,yes,cellular,15,jul,955,5,-1,0,unknown
14698,36,services,divorced,secondary,yes,0,no,yes,cellular,15,jul,687,7,-1,0,unknown
14724,46,entrepreneur,divorced,secondary,no,-563,no,yes,cellular,15,jul,769,4,-1,0,unknown
14726,29,student,single,tertiary,no,5,no,no,cellular,15,jul,889,5,-1,0,unknown
14728,25,blue-collar,married,secondary,no,0,no,yes,cellular,15,jul,1424,4,-1,0,unknown
14730,39,management,married,tertiary,no,285,yes,no,cellular,15,jul,838,3,-1,0,unknown
14743,27,entrepreneur,married,tertiary,no,139,no,no,cellular,15,jul,448,5,-1,0,unknown
14744,35,blue-collar,single,secondary,no,885,yes,no,cellular,15,jul,632,6,-1,0,unknown
14760,28,management,single,tertiary,no,0,yes,no,cellular,16,jul,767,5,-1,0,unknown
14784,34,blue-collar,single,secondary,no,855,yes,no,cellular,16,jul,578,1,-1,0,unknown
14797,29,blue-collar,single,unknown,no,694,yes,yes,cellular,16,jul,1806,4,-1,0,unknown
14817,27,management,single,tertiary,no,151,yes,no,cellular,16,jul,496,1,-1,0,unknown
14820,26,technician,single,secondary,no,354,no,no,cellular,16,jul,586,1,-1,0,unknown
14822,36,management,married,tertiary,no,673,yes,no,cellular,16,jul,689,1,-1,0,unknown
14829,44,blue-collar,married,primary,no,1265,yes,no,cellular,16,jul,555,1,-1,0,unknown
14832,39,blue-collar,married,tertiary,no,597,no,no,cellular,16,jul,686,6,-1,0,unknown
14841,30,technician,married,secondary,no,-393,yes,yes,cellular,16,jul,435,1,-1,0,unknown
14848,36,blue-collar,married,secondary,no,324,yes,yes,cellular,16,jul,830,1,-1,0,unknown
14853,31,unemployed,divorced,tertiary,no,256,yes,no,cellular,16,jul,873,2,-1,0,unknown
14871,56,blue-collar,married,primary,no,0,yes,no,cellular,16,jul,1222,1,-1,0,unknown
14882,29,blue-collar,married,secondary,no,2870,yes,no,cellular,16,jul,988,1,-1,0,unknown
14889,27,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown
14902,43,blue-collar,married,secondary,no,184,no,yes,cellular,16,jul,1019,11,-1,0,unknown
14905,32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,709,2,-1,0,unknown
14908,30,admin.,single,secondary,no,-36,no,no,cellular,16,jul,561,9,-1,0,unknown
14928,50,management,married,secondary,no,1165,no,no,cellular,16,jul,455,1,-1,0,unknown
14932,40,blue-collar,married,secondary,no,-839,yes,yes,cellular,16,jul,1018,2,-1,0,unknown
14938,42,services,married,secondary,no,3465,yes,yes,cellular,16,jul,1039,2,-1,0,unknown
14954,40,technician,married,secondary,no,-357,yes,no,cellular,16,jul,700,4,-1,0,unknown
14958,27,student,married,secondary,no,119,yes,no,cellular,16,jul,781,2,-1,0,unknown
14961,35,management,married,tertiary,no,36,no,yes,cellular,16,jul,1656,5,-1,0,unknown
15017,26,blue-collar,married,secondary,no,-11,yes,yes,cellular,17,jul,1150,3,-1,0,unknown
15041,35,housemaid,married,primary,no,113,yes,no,cellular,17,jul,923,2,-1,0,unknown
15050,52,blue-collar,married,secondary,no,1405,no,yes,cellular,17,jul,753,2,-1,0,unknown
15092,32,blue-collar,single,secondary,no,118,yes,no,cellular,17,jul,1275,1,-1,0,unknown
15094,39,technician,married,secondary,no,251,yes,no,cellular,17,jul,342,2,-1,0,unknown
15108,31,blue-collar,divorced,secondary,no,-277,yes,no,telephone,17,jul,1008,2,-1,0,unknown
15117,26,services,single,secondary,no,-189,no,yes,cellular,17,jul,538,2,-1,0,unknown
15120,42,management,married,tertiary,no,4,yes,no,cellular,17,jul,795,1,-1,0,unknown
15122,32,technician,married,secondary,no,348,yes,no,cellular,17,jul,926,1,-1,0,unknown
15149,27,services,single,secondary,no,1820,yes,no,cellular,17,jul,1027,1,-1,0,unknown
15175,33,self-employed,divorced,secondary,no,1904,yes,no,cellular,17,jul,1584,2,-1,0,unknown
15179,51,blue-collar,married,primary,no,201,yes,no,cellular,17,jul,582,2,-1,0,unknown
15180,33,admin.,married,secondary,no,0,yes,no,telephone,17,jul,1448,7,-1,0,unknown
15192,30,technician,single,tertiary,no,178,no,no,cellular,17,jul,656,3,-1,0,unknown
15198,29,management,married,tertiary,no,51,yes,no,cellular,17,jul,1319,5,-1,0,unknown
15212,52,housemaid,married,primary,no,3798,yes,no,cellular,17,jul,1208,1,-1,0,unknown
15220,42,blue-collar,divorced,primary,no,301,yes,no,cellular,17,jul,1175,2,-1,0,unknown
15222,31,management,divorced,tertiary,no,294,yes,no,cellular,17,jul,536,5,-1,0,unknown
15238,27,services,married,secondary,no,0,yes,no,cellular,17,jul,991,5,-1,0,unknown
15263,44,blue-collar,single,secondary,no,292,no,yes,cellular,17,jul,1153,4,-1,0,unknown
15269,55,housemaid,married,primary,no,0,yes,no,cellular,17,jul,1303,2,-1,0,unknown
15286,40,entrepreneur,divorced,secondary,no,2998,yes,no,cellular,18,jul,623,3,-1,0,unknown
15287,54,technician,single,tertiary,no,467,yes,no,cellular,18,jul,674,3,-1,0,unknown
15289,46,housemaid,divorced,primary,no,2084,yes,no,cellular,18,jul,1081,2,-1,0,unknown
15311,30,management,single,tertiary,no,502,no,yes,cellular,18,jul,572,1,-1,0,unknown
15312,30,services,divorced,primary,no,459,yes,no,cellular,18,jul,494,1,-1,0,unknown
15318,32,services,divorced,secondary,no,454,yes,no,cellular,18,jul,978,1,-1,0,unknown
15321,56,technician,divorced,secondary,no,179,no,no,cellular,18,jul,536,1,-1,0,unknown
15343,33,blue-collar,married,secondary,no,661,yes,no,cellular,18,jul,968,1,-1,0,unknown
15352,31,technician,married,secondary,yes,-367,yes,no,cellular,18,jul,474,2,-1,0,unknown
15358,30,services,single,secondary,yes,-366,yes,no,cellular,18,jul,516,1,-1,0,unknown
15366,33,blue-collar,married,secondary,no,89,yes,no,cellular,18,jul,278,2,-1,0,unknown
15373,30,blue-collar,single,secondary,no,183,yes,no,cellular,18,jul,610,1,-1,0,unknown
15389,32,self-employed,married,primary,no,102,yes,no,cellular,18,jul,560,1,-1,0,unknown
15392,41,blue-collar,divorced,primary,no,138,yes,no,cellular,18,jul,640,3,-1,0,unknown
15413,31,admin.,single,secondary,no,622,no,no,cellular,18,jul,420,1,-1,0,unknown
15415,30,admin.,divorced,secondary,no,10,yes,no,cellular,18,jul,658,2,-1,0,unknown
15430,51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,jul,655,4,-1,0,unknown
15438,34,admin.,divorced,secondary,no,-251,no,no,cellular,18,jul,641,1,-1,0,unknown
15443,28,admin.,single,unknown,no,24,yes,no,cellular,18,jul,415,2,-1,0,unknown
15451,43,entrepreneur,married,secondary,no,104,yes,no,cellular,18,jul,635,3,-1,0,unknown
15464,33,technician,single,tertiary,no,1393,yes,no,cellular,18,jul,1127,3,-1,0,unknown
15479,36,management,married,tertiary,no,625,yes,no,cellular,18,jul,1360,9,-1,0,unknown
15510,28,blue-collar,married,secondary,no,173,no,no,cellular,18,jul,588,7,-1,0,unknown
15512,32,admin.,divorced,secondary,no,-46,no,yes,cellular,18,jul,1373,4,-1,0,unknown
15522,31,blue-collar,divorced,secondary,no,0,yes,yes,cellular,18,jul,913,4,-1,0,unknown
15526,35,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,jul,799,2,-1,0,unknown
15529,31,management,married,tertiary,no,325,yes,no,cellular,18,jul,1139,2,-1,0,unknown
15578,32,management,single,tertiary,no,2551,yes,no,cellular,21,jul,638,3,-1,0,unknown
15597,25,services,single,secondary,no,2311,no,yes,cellular,21,jul,1105,2,-1,0,unknown
15659,56,retired,divorced,tertiary,no,158,no,yes,cellular,21,jul,854,1,-1,0,unknown
15686,31,blue-collar,married,primary,no,-537,yes,yes,cellular,21,jul,1039,7,-1,0,unknown
15690,29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574,1,-1,0,unknown
15692,47,technician,married,secondary,no,1981,yes,no,cellular,21,jul,919,2,-1,0,unknown
15703,32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,unknown
15713,39,management,married,tertiary,no,1423,yes,no,telephone,21,jul,733,3,-1,0,unknown
15719,51,management,married,tertiary,no,2455,yes,no,cellular,21,jul,553,1,-1,0,unknown
15720,40,blue-collar,married,primary,no,0,yes,no,cellular,21,jul,1080,4,-1,0,unknown
15722,54,technician,divorced,secondary,no,859,no,yes,cellular,21,jul,710,1,-1,0,unknown
15736,58,retired,married,unknown,no,9004,no,no,cellular,21,jul,891,4,-1,0,unknown
15748,42,unemployed,married,unknown,no,970,yes,no,telephone,21,jul,691,10,-1,0,unknown
15755,56,services,married,primary,no,486,no,yes,telephone,21,jul,1877,1,-1,0,unknown
15794,25,student,married,tertiary,no,10,yes,no,cellular,21,jul,857,4,-1,0,unknown
15817,55,housemaid,married,secondary,no,127,yes,no,telephone,21,jul,1130,8,-1,0,unknown
15818,26,blue-collar,single,primary,no,409,yes,no,cellular,21,jul,577,2,-1,0,unknown
15823,40,admin.,single,secondary,no,664,no,no,cellular,21,jul,1342,2,-1,0,unknown
15838,26,technician,single,secondary,no,223,no,yes,cellular,21,jul,1002,3,-1,0,unknown
15847,35,management,single,tertiary,no,-324,no,yes,cellular,21,jul,985,11,-1,0,unknown
15858,34,services,single,secondary,no,-30,no,no,cellular,21,jul,1360,3,-1,0,unknown
15860,41,management,single,tertiary,no,1253,no,no,cellular,21,jul,1134,5,-1,0,unknown
15906,44,management,married,primary,no,4758,yes,no,cellular,22,jul,712,6,-1,0,unknown
15932,47,admin.,married,secondary,no,290,yes,no,cellular,22,jul,1352,2,-1,0,unknown
15947,33,management,single,tertiary,no,30,yes,no,cellular,22,jul,1077,1,-1,0,unknown
15966,36,management,divorced,tertiary,no,81,no,yes,cellular,22,jul,560,1,-1,0,unknown
15980,38,technician,married,secondary,no,0,yes,no,cellular,22,jul,1545,1,-1,0,unknown
16023,35,technician,married,tertiary,no,328,yes,no,cellular,22,jul,654,2,-1,0,unknown
16042,41,technician,single,tertiary,no,145,no,no,cellular,22,jul,1833,2,-1,0,unknown
16067,41,management,divorced,unknown,no,465,yes,no,cellular,22,jul,1508,1,-1,0,unknown
16121,28,blue-collar,married,secondary,no,751,yes,no,cellular,22,jul,598,5,-1,0,unknown
16140,35,admin.,single,secondary,no,507,yes,no,cellular,22,jul,560,2,-1,0,unknown
16145,26,services,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,unknown
16184,39,blue-collar,single,secondary,no,0,no,no,cellular,22,jul,864,4,-1,0,unknown
16187,25,admin.,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,-1,0,unknown
16199,37,admin.,married,secondary,no,1110,yes,no,telephone,22,jul,802,11,-1,0,unknown
16210,27,services,married,secondary,no,0,yes,no,cellular,22,jul,1608,13,-1,0,unknown
16230,25,management,married,secondary,no,2228,yes,no,cellular,23,jul,754,1,-1,0,unknown
16247,46,management,divorced,tertiary,no,2166,yes,no,cellular,23,jul,870,1,-1,0,unknown
16274,42,management,divorced,secondary,no,283,yes,no,cellular,23,jul,761,1,-1,0,unknown
16291,25,blue-collar,single,secondary,no,-247,yes,no,cellular,23,jul,633,1,-1,0,unknown
16356,28,technician,single,tertiary,no,-123,no,yes,cellular,23,jul,690,1,-1,0,unknown
16367,33,services,divorced,secondary,no,44,no,yes,cellular,23,jul,529,1,-1,0,unknown
16390,32,management,single,secondary,no,131,yes,yes,cellular,23,jul,1152,2,-1,0,unknown
16420,32,blue-collar,married,secondary,no,476,yes,no,cellular,23,jul,956,9,-1,0,unknown
16426,47,technician,single,secondary,no,1101,yes,no,cellular,23,jul,957,3,-1,0,unknown
16446,50,entrepreneur,married,tertiary,no,-168,yes,no,cellular,23,jul,1327,2,-1,0,unknown
16454,32,blue-collar,single,secondary,no,799,no,yes,cellular,23,jul,2078,6,-1,0,unknown
16470,28,student,single,secondary,no,153,no,no,cellular,23,jul,1124,2,-1,0,unknown
16471,27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,-1,0,unknown
16473,45,admin.,married,secondary,no,524,yes,no,cellular,23,jul,808,1,-1,0,unknown
16482,51,admin.,single,secondary,no,895,no,no,cellular,23,jul,638,2,-1,0,unknown
16497,36,admin.,married,secondary,no,212,yes,yes,cellular,23,jul,1201,6,-1,0,unknown
16499,51,self-employed,married,secondary,no,95,yes,no,cellular,23,jul,1309,4,-1,0,unknown
16515,33,services,single,tertiary,no,395,yes,no,cellular,23,jul,1359,6,-1,0,unknown
16517,59,technician,married,secondary,no,135,yes,yes,cellular,23,jul,416,4,-1,0,unknown
16523,38,entrepreneur,married,tertiary,no,0,no,no,cellular,23,jul,532,2,-1,0,unknown
16545,40,services,married,secondary,no,471,yes,no,cellular,24,jul,430,4,-1,0,unknown
16595,51,blue-collar,married,primary,no,603,yes,no,cellular,24,jul,853,2,-1,0,unknown
16598,41,entrepreneur,single,secondary,no,663,no,no,cellular,24,jul,1204,1,-1,0,unknown
16636,55,retired,divorced,secondary,no,-268,no,yes,cellular,24,jul,1417,1,-1,0,unknown
16637,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown
16640,31,management,married,tertiary,no,1224,yes,yes,cellular,24,jul,1441,2,-1,0,unknown
16641,28,admin.,single,secondary,no,2,yes,no,cellular,24,jul,454,1,-1,0,unknown
16673,41,blue-collar,married,secondary,yes,720,no,yes,cellular,24,jul,651,1,-1,0,unknown
16692,33,management,divorced,tertiary,no,990,yes,no,cellular,24,jul,1491,2,-1,0,unknown
16724,25,student,single,secondary,no,1747,yes,no,cellular,24,jul,903,1,-1,0,unknown
16728,45,admin.,divorced,secondary,no,59,yes,no,cellular,24,jul,873,8,-1,0,unknown
16733,25,technician,single,secondary,no,4718,no,no,cellular,24,jul,709,1,-1,0,unknown
16762,31,blue-collar,married,primary,no,33,yes,no,cellular,24,jul,901,2,-1,0,unknown
16811,28,services,single,secondary,no,340,yes,no,cellular,24,jul,821,2,-1,0,unknown
16813,49,technician,divorced,secondary,no,305,no,no,cellular,24,jul,367,2,-1,0,unknown
16841,25,services,married,secondary,no,0,yes,no,cellular,24,jul,458,9,-1,0,unknown
16842,28,unemployed,single,tertiary,no,497,yes,no,cellular,24,jul,1602,6,-1,0,unknown
16855,54,retired,married,secondary,no,1371,no,no,telephone,25,jul,1492,2,-1,0,unknown
16864,28,technician,single,tertiary,no,1628,yes,no,cellular,25,jul,1422,2,-1,0,unknown
16871,27,technician,single,tertiary,no,372,yes,yes,cellular,25,jul,728,2,-1,0,unknown
16881,49,blue-collar,single,primary,no,566,yes,no,cellular,25,jul,979,2,-1,0,unknown
16885,53,blue-collar,married,primary,no,343,yes,no,cellular,25,jul,616,5,-1,0,unknown
16897,26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,-1,0,unknown
16900,37,services,married,secondary,no,775,no,yes,cellular,25,jul,1000,1,-1,0,unknown
16901,34,blue-collar,single,secondary,no,1759,no,yes,cellular,25,jul,695,1,-1,0,unknown
16905,33,admin.,married,secondary,no,82,yes,no,cellular,25,jul,735,1,-1,0,unknown
16920,35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,-1,0,unknown
16960,51,retired,married,primary,no,1495,no,no,telephone,25,jul,1946,4,-1,0,unknown
16996,39,housemaid,married,secondary,no,1444,no,no,telephone,25,jul,362,8,-1,0,unknown
17028,35,technician,single,tertiary,no,470,yes,no,cellular,25,jul,743,13,-1,0,unknown
17031,51,unemployed,married,primary,no,1162,yes,no,cellular,25,jul,2015,1,-1,0,unknown
17060,30,management,single,tertiary,no,2,yes,yes,cellular,25,jul,1031,8,-1,0,unknown
17083,42,blue-collar,single,primary,no,1628,yes,no,cellular,25,jul,590,8,-1,0,unknown
17087,54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,-1,0,unknown
17094,51,blue-collar,married,primary,no,0,yes,yes,cellular,25,jul,946,3,-1,0,unknown
17104,57,retired,divorced,primary,no,63,no,yes,cellular,25,jul,1448,17,-1,0,unknown
17110,30,management,married,tertiary,no,1221,yes,no,telephone,25,jul,279,4,-1,0,unknown
17115,37,blue-collar,single,secondary,no,5024,no,yes,cellular,25,jul,661,4,-1,0,unknown
17130,39,technician,married,secondary,no,10685,yes,no,cellular,25,jul,1369,9,-1,0,unknown
17131,35,technician,married,tertiary,no,1629,no,no,cellular,25,jul,653,4,-1,0,unknown
17182,48,management,married,secondary,no,268,yes,no,cellular,28,jul,458,7,-1,0,unknown
17187,45,admin.,divorced,tertiary,no,1506,no,no,cellular,28,jul,365,4,-1,0,unknown
17193,31,management,married,tertiary,no,0,yes,yes,cellular,28,jul,664,8,-1,0,unknown
17202,35,self-employed,married,secondary,no,5613,yes,no,cellular,28,jul,699,3,-1,0,unknown
17219,48,housemaid,married,secondary,no,513,no,yes,cellular,28,jul,939,3,-1,0,unknown
17228,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,unknown
17245,43,blue-collar,single,primary,no,-399,no,yes,cellular,28,jul,662,3,-1,0,unknown
17260,49,services,divorced,secondary,no,0,no,no,cellular,28,jul,412,2,-1,0,unknown
17279,53,housemaid,married,primary,no,362,no,no,cellular,28,jul,1169,2,-1,0,unknown
17280,48,entrepreneur,married,secondary,no,0,no,yes,cellular,28,jul,431,2,-1,0,unknown
17286,27,technician,single,secondary,no,3933,no,no,cellular,28,jul,837,3,-1,0,unknown
17292,55,technician,married,secondary,no,3899,yes,no,telephone,28,jul,596,4,-1,0,unknown
17344,40,services,married,secondary,no,473,yes,no,cellular,28,jul,383,3,-1,0,unknown
17362,40,self-employed,single,tertiary,no,1616,no,no,telephone,28,jul,1009,7,-1,0,unknown
17368,38,blue-collar,divorced,secondary,no,1817,yes,no,cellular,28,jul,1096,4,-1,0,unknown
17380,54,retired,single,secondary,no,129,no,yes,cellular,28,jul,867,2,-1,0,unknown
17399,54,technician,married,secondary,no,1938,no,yes,cellular,28,jul,551,3,-1,0,unknown
17455,50,admin.,single,secondary,no,133,no,no,cellular,28,jul,890,4,-1,0,unknown
17473,27,admin.,single,secondary,no,192,no,no,telephone,28,jul,1076,17,-1,0,unknown
17546,48,management,divorced,tertiary,no,2263,no,no,cellular,29,jul,874,2,-1,0,unknown
17579,41,services,married,unknown,no,1538,no,no,cellular,29,jul,710,2,-1,0,unknown
17588,51,blue-collar,divorced,primary,no,5,no,no,cellular,29,jul,600,2,-1,0,unknown
17642,42,technician,single,tertiary,no,2625,no,no,cellular,29,jul,2516,2,-1,0,unknown
17697,33,blue-collar,married,secondary,no,0,no,no,cellular,29,jul,454,6,-1,0,unknown
17709,58,retired,divorced,secondary,no,1080,yes,no,cellular,29,jul,1058,2,-1,0,unknown
17729,47,unemployed,married,secondary,no,312,no,no,cellular,29,jul,884,1,-1,0,unknown
17762,58,admin.,married,secondary,no,145,yes,no,telephone,29,jul,616,13,-1,0,unknown
17764,60,self-employed,married,primary,no,362,no,yes,cellular,29,jul,816,6,-1,0,unknown
17780,41,blue-collar,married,secondary,no,-190,no,yes,cellular,29,jul,808,3,-1,0,unknown
17794,46,admin.,married,secondary,no,659,yes,no,telephone,29,jul,1127,11,-1,0,unknown
17870,50,admin.,married,secondary,no,2678,no,no,telephone,30,jul,1011,6,-1,0,unknown
17873,46,housemaid,married,secondary,no,271,yes,no,cellular,30,jul,1013,29,-1,0,unknown
17878,47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,-1,0,unknown
17897,44,blue-collar,married,secondary,no,0,no,no,cellular,30,jul,684,2,-1,0,unknown
17899,46,self-employed,divorced,tertiary,no,21,no,no,cellular,30,jul,566,2,-1,0,unknown
17903,36,services,married,secondary,no,0,no,no,cellular,30,jul,843,2,-1,0,unknown
17912,39,blue-collar,married,unknown,no,1181,yes,no,cellular,30,jul,650,2,-1,0,unknown
17926,58,management,divorced,secondary,no,3161,no,no,telephone,30,jul,542,2,-1,0,unknown
18001,44,unemployed,single,primary,yes,-4,no,yes,cellular,30,jul,788,2,-1,0,unknown
18005,49,entrepreneur,divorced,unknown,yes,-701,yes,no,cellular,30,jul,988,2,-1,0,unknown
18015,55,management,married,tertiary,no,-375,no,no,cellular,30,jul,814,2,-1,0,unknown
18020,52,unemployed,married,primary,no,959,no,no,telephone,30,jul,694,2,-1,0,unknown
18023,37,services,married,secondary,no,4151,yes,yes,cellular,30,jul,543,4,-1,0,unknown
18026,60,retired,divorced,secondary,no,1091,no,no,cellular,30,jul,441,5,-1,0,unknown
18042,41,services,married,unknown,yes,-1,no,yes,cellular,30,jul,1171,4,-1,0,unknown
18047,36,management,married,tertiary,no,96,no,no,cellular,30,jul,729,4,-1,0,unknown
18050,41,blue-collar,divorced,primary,no,0,no,no,cellular,30,jul,509,2,-1,0,unknown
18068,50,entrepreneur,married,tertiary,no,230,no,no,telephone,30,jul,1089,4,-1,0,unknown
18072,44,housemaid,married,primary,no,-156,no,yes,cellular,30,jul,1211,2,-1,0,unknown
18081,54,technician,married,secondary,no,114,no,no,cellular,30,jul,458,3,-1,0,unknown
18126,35,management,married,tertiary,no,-468,yes,no,cellular,30,jul,540,8,-1,0,unknown
18161,59,retired,divorced,secondary,no,679,no,no,cellular,30,jul,761,4,-1,0,unknown
18165,42,entrepreneur,married,unknown,no,206,yes,no,cellular,30,jul,695,2,-1,0,unknown
18171,27,management,single,tertiary,no,1,yes,no,cellular,30,jul,764,4,-1,0,unknown
18189,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown
18195,36,housemaid,married,primary,no,78,yes,no,telephone,30,jul,2692,9,-1,0,unknown
18198,59,housemaid,divorced,primary,no,2518,no,no,cellular,30,jul,675,3,-1,0,unknown
18216,43,admin.,married,secondary,no,378,no,no,cellular,30,jul,782,8,-1,0,unknown
18238,39,technician,single,secondary,no,391,no,yes,cellular,30,jul,962,4,-1,0,unknown
18243,33,unemployed,married,secondary,no,-144,no,no,cellular,30,jul,481,3,-1,0,unknown
18296,36,self-employed,single,tertiary,no,1240,no,no,cellular,31,jul,812,3,-1,0,unknown
18310,35,blue-collar,divorced,primary,no,1792,yes,no,cellular,31,jul,630,6,-1,0,unknown
18319,50,blue-collar,married,unknown,no,2284,yes,no,telephone,31,jul,1088,17,-1,0,unknown
18320,55,technician,married,secondary,no,264,yes,yes,cellular,31,jul,1150,5,-1,0,unknown
18382,51,unemployed,divorced,tertiary,no,0,no,no,cellular,31,jul,574,2,-1,0,unknown
18410,48,entrepreneur,married,tertiary,yes,-392,no,no,cellular,31,jul,725,4,-1,0,unknown
18437,55,housemaid,divorced,primary,no,77,no,no,cellular,31,jul,463,6,-1,0,unknown
18447,30,services,married,secondary,no,48,yes,no,cellular,31,jul,662,13,-1,0,unknown
18448,53,blue-collar,married,primary,no,252,no,no,cellular,31,jul,727,4,-1,0,unknown
18490,40,blue-collar,married,secondary,no,1954,no,no,cellular,31,jul,1107,2,-1,0,unknown
18516,44,technician,married,primary,no,755,no,yes,cellular,31,jul,829,4,-1,0,unknown
18518,51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,jul,612,4,-1,0,unknown
18531,58,management,married,secondary,no,-382,no,no,cellular,31,jul,644,12,-1,0,unknown
18540,40,housemaid,single,tertiary,no,7441,no,no,cellular,31,jul,1461,6,-1,0,unknown
18556,35,management,married,tertiary,no,1731,no,no,cellular,31,jul,361,4,-1,0,unknown
18625,49,management,divorced,tertiary,no,755,no,no,cellular,31,jul,1212,4,-1,0,unknown
18694,40,blue-collar,married,primary,no,57,yes,no,cellular,31,jul,1007,9,-1,0,unknown
18736,48,admin.,married,primary,no,3644,yes,yes,telephone,31,jul,1039,9,-1,0,unknown
18771,40,admin.,married,secondary,no,341,no,no,cellular,31,jul,1142,5,-1,0,unknown
18780,58,unemployed,married,primary,no,1183,no,no,cellular,31,jul,1721,5,-1,0,unknown
18811,49,services,married,secondary,no,388,no,no,telephone,31,jul,1032,4,-1,0,unknown
18848,38,technician,married,secondary,no,1919,no,no,cellular,4,aug,846,1,-1,0,unknown
18884,51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,-1,0,unknown
18894,36,management,divorced,tertiary,no,0,no,no,cellular,4,aug,1165,1,-1,0,unknown
18919,55,retired,married,secondary,no,0,no,no,cellular,4,aug,1110,1,-1,0,unknown
18956,52,management,married,tertiary,no,7192,no,no,cellular,4,aug,1486,1,-1,0,unknown
18993,43,technician,married,tertiary,no,0,no,no,cellular,4,aug,1488,2,-1,0,unknown
18999,60,management,divorced,secondary,no,0,no,no,cellular,5,aug,603,3,-1,0,unknown
