,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
19512,19512,3,10,1,2,0,0,0,0,2,7,8,1,2,-1,0,0,0
14698,14698,4,11,2,2,1,0,0,1,2,15,7,5,7,-1,0,0,1
31226,31226,5,10,3,2,0,0,0,0,1,2,3,3,2,-1,0,0,1
21820,21820,3,10,1,2,0,0,0,0,2,20,8,0,2,-1,0,0,0
17633,17633,6,1,1,2,0,0,0,0,2,29,7,3,2,-1,0,0,0
31832,31832,4,3,1,3,0,0,1,0,2,8,4,1,1,7,2,1,0
24449,24449,5,1,1,2,0,0,1,0,2,17,11,0,1,6,4,3,0
43455,43455,8,10,1,2,0,0,0,0,2,12,4,1,1,-1,0,0,0
23657,23657,3,3,3,3,0,0,1,0,2,28,8,3,8,-1,0,0,0
24234,24234,4,3,1,3,0,0,0,0,2,17,11,1,1,3,2,3,0
7740,7740,4,7,1,2,0,0,1,0,0,30,5,2,3,-1,0,0,0
18978,18978,6,5,1,2,0,0,0,0,2,4,8,2,2,-1,0,0,0
34406,34406,7,7,1,1,0,1,1,0,2,5,5,6,3,-1,0,0,1
30403,30403,4,3,3,3,0,0,0,0,2,5,2,0,1,-1,0,0,0
27872,27872,3,4,3,3,0,0,0,0,1,28,1,0,1,-1,0,0,0
19393,19393,6,7,1,2,0,0,0,0,2,6,8,2,1,-1,0,0,0
24754,24754,6,7,1,2,0,0,1,0,2,18,11,2,2,-1,0,0,0
4490,4490,3,1,3,2,0,0,1,0,0,20,5,1,1,-1,0,0,0
17262,17262,5,10,3,2,0,0,1,1,2,28,7,1,2,-1,0,0,0
18486,18486,7,7,1,2,0,0,1,0,2,31,7,0,2,-1,0,0,0
43560,43560,4,2,3,2,0,0,0,0,1,27,4,3,2,5,3,3,1
15510,15510,2,7,1,2,0,0,0,0,2,18,7,4,7,-1,0,0,1
15670,15670,4,1,1,3,0,0,1,0,2,21,7,0,1,-1,0,0,0
14208,14208,4,5,1,3,0,0,1,0,2,11,7,1,2,-1,0,0,0
14915,14915,7,9,1,2,0,0,0,1,2,16,7,1,6,-1,0,0,0
25163,25163,4,1,1,2,0,0,1,0,2,18,11,2,1,-1,0,0,0
28810,28810,7,11,2,3,0,0,0,0,2,30,1,1,1,-1,0,0,0
29325,29325,4,7,1,1,0,0,1,0,2,2,2,7,2,-1,0,0,0
40940,40940,4,11,1,0,0,0,0,0,2,12,8,2,1,3,1,2,1
33673,33673,3,11,1,2,0,0,1,0,2,20,4,0,6,10,8,1,0
29973,29973,7,4,1,1,0,0,1,1,2,4,2,0,1,-1,0,0,0
36979,36979,5,7,1,2,0,0,1,0,2,13,5,0,4,-1,0,0,0
35959,35959,1,11,3,2,0,0,1,0,2,8,5,1,2,11,3,3,0
44891,44891,8,11,2,2,0,0,0,0,2,27,9,2,6,6,4,2,1
12844,12844,2,10,1,2,0,-1,0,0,2,7,7,3,1,-1,0,0,0
17570,17570,8,1,2,2,0,0,0,1,2,29,7,1,2,-1,0,0,0
34274,34274,3,11,1,2,0,0,1,0,2,4,5,1,3,11,2,3,0
16882,16882,2,10,1,2,0,0,1,1,2,25,7,1,2,-1,0,0,0
13156,13156,3,5,2,2,0,0,0,1,2,8,7,1,2,-1,0,0,0
42453,42453,7,7,3,2,0,0,0,0,1,9,12,1,8,6,2,3,0
15265,15265,3,11,1,2,0,0,1,0,2,17,7,6,2,-1,0,0,0
1286,1286,3,7,1,2,0,0,1,0,0,8,5,0,2,-1,0,0,0
41984,41984,7,10,1,2,0,0,0,0,2,27,10,1,1,-1,0,0,0
44502,44502,3,3,1,3,0,0,0,0,2,10,8,1,1,-1,0,0,0
31255,31255,11,9,3,0,0,0,0,1,2,5,3,0,3,-1,0,0,0
30371,30371,6,7,1,1,0,0,1,0,2,5,2,4,2,6,4,3,0
21883,21883,3,3,3,2,0,0,0,0,2,20,8,0,4,-1,0,0,0
36792,36792,8,1,3,2,0,0,1,0,2,12,5,3,1,-1,0,0,1
11237,11237,8,3,1,2,0,0,0,0,0,18,6,2,2,-1,0,0,0
3091,3091,2,7,3,2,0,0,1,0,0,14,5,2,1,-1,0,0,0
20047,20047,3,10,3,2,0,0,0,0,2,8,8,1,3,-1,0,0,0
41598,41598,1,6,3,2,0,0,0,0,2,16,9,2,1,-1,0,0,0
17006,17006,7,4,1,2,0,0,1,1,2,25,7,0,1,-1,0,0,0
1311,1311,4,10,3,2,0,0,1,0,0,8,5,2,2,-1,0,0,0
39326,39326,1,7,3,2,0,0,1,0,2,18,5,1,2,-1,0,0,0
3701,3701,3,3,1,3,0,0,1,0,0,16,5,6,1,-1,0,0,1
12545,12545,3,10,1,2,0,0,1,1,0,3,7,3,1,-1,0,0,0
41552,41552,6,10,1,2,0,0,1,0,0,11,9,0,1,3,2,3,1
34825,34825,4,11,1,2,0,0,1,0,2,6,5,1,1,12,1,1,0
23926,23926,7,7,1,1,0,0,0,0,2,29,8,0,8,-1,0,0,0
38816,38816,1,6,1,3,1,-1,1,0,2,18,5,2,2,-1,0,0,0
4283,4283,3,7,3,3,0,0,1,1,0,19,5,1,1,-1,0,0,0
15483,15483,5,9,1,1,0,-1,1,0,2,18,7,7,3,-1,0,0,0
21932,21932,5,10,1,2,0,-1,0,0,2,20,8,1,6,-1,0,0,0
27696,27696,3,10,3,3,0,0,1,0,2,21,11,0,2,-1,0,0,0
12677,12677,2,11,3,2,0,-1,0,1,2,4,7,2,1,-1,0,0,0
26753,26753,5,7,1,1,0,0,0,0,1,20,11,1,2,-1,0,0,0
11602,11602,6,1,1,2,0,0,0,0,0,19,6,1,3,-1,0,0,0
20542,20542,3,3,3,3,0,0,0,0,2,12,8,1,4,-1,0,0,0
316,316,4,7,1,2,0,0,1,1,0,5,5,3,2,-1,0,0,0
4985,4985,3,1,3,3,0,0,1,0,0,21,5,1,1,-1,0,0,0
44187,44187,6,1,1,2,0,1,0,0,2,15,7,7,1,6,1,2,1
25359,25359,5,1,1,2,0,0,1,1,2,18,11,3,2,5,2,1,0
16554,16554,4,1,1,2,0,0,1,0,2,24,7,0,2,-1,0,0,0
15572,15572,2,11,3,2,0,0,0,1,2,21,7,1,4,-1,0,0,0
30646,30646,3,3,1,3,0,0,1,1,2,6,2,1,1,-1,0,0,0
42115,42115,7,10,1,2,0,0,1,0,1,2,11,0,5,-1,0,0,0
7954,7954,4,7,3,3,0,0,0,0,0,30,5,0,3,-1,0,0,0
37461,37461,4,7,1,2,0,0,1,0,2,13,5,1,3,-1,0,0,0
34923,34923,6,1,1,1,0,0,1,0,2,6,5,0,1,11,1,1,0
1940,1940,6,7,1,1,0,0,1,0,0,9,5,1,2,-1,0,0,0
31961,31961,7,7,1,2,0,1,1,0,2,13,4,0,1,4,1,1,0
4687,4687,3,3,1,3,0,0,1,0,0,20,5,1,2,-1,0,0,0
40836,40836,1,6,3,2,0,0,0,0,2,11,8,3,1,-1,0,0,0
26955,26955,6,3,2,3,0,0,0,0,2,21,11,1,1,3,2,1,0
19186,19186,3,10,1,3,0,0,0,0,2,5,8,0,2,-1,0,0,0
6843,6843,5,7,3,2,0,0,1,0,0,28,5,0,1,-1,0,0,0
15394,15394,3,1,3,2,1,-1,0,1,2,18,7,2,3,-1,0,0,0
2805,2805,7,7,2,2,0,0,1,1,0,14,5,3,1,-1,0,0,0
25729,25729,3,10,3,3,0,0,1,0,2,19,11,3,2,6,1,3,1
12529,12529,7,3,1,2,0,0,0,0,0,3,7,0,1,-1,0,0,0
23250,23250,3,10,3,2,0,0,0,0,2,27,8,0,8,-1,0,0,0
25709,25709,3,2,1,2,0,2,1,0,2,19,11,2,3,-1,0,0,0
40393,40393,1,6,3,0,0,0,0,0,2,30,6,3,1,-1,0,0,1
27071,27071,6,10,2,2,0,-1,1,0,2,21,11,2,1,-1,0,0,0
2450,2450,8,9,1,2,0,0,1,0,0,13,5,0,1,-1,0,0,0
41504,41504,8,1,2,2,0,0,0,0,2,9,9,1,2,-1,0,0,0
2596,2596,3,1,2,2,0,0,1,1,0,13,5,0,1,-1,0,0,0
4207,4207,1,7,3,2,0,0,1,0,0,19,5,1,1,-1,0,0,0
8619,8619,2,10,3,2,1,-1,1,0,0,3,6,4,7,-1,0,0,0
3848,3848,8,7,1,2,0,0,1,0,0,16,5,1,3,-1,0,0,0
22223,22223,4,10,1,2,0,0,0,1,2,21,8,0,2,-1,0,0,0
29690,29690,3,4,1,3,0,0,1,1,2,3,2,1,3,-1,0,0,0
25325,25325,6,7,1,1,0,-1,1,0,2,18,11,0,2,-1,0,0,0
24351,24351,6,1,1,2,0,2,1,0,2,17,11,0,2,-1,0,0,0
34762,34762,4,10,1,2,0,0,1,0,2,6,5,3,1,-1,0,0,0
33656,33656,7,1,2,2,0,0,1,0,2,20,4,0,3,10,1,3,0
43465,43465,5,10,1,3,0,2,1,0,2,13,4,1,2,8,9,1,1
20172,20172,8,9,1,3,0,0,0,0,2,11,8,0,4,-1,0,0,0
30382,30382,2,3,1,3,0,0,0,0,1,5,2,2,1,-1,0,0,0
22072,22072,5,3,1,3,0,0,0,0,2,21,8,0,4,-1,0,0,0
20493,20493,5,3,1,3,0,0,1,0,2,12,8,0,2,-1,0,0,0
44329,44329,8,10,1,3,0,0,0,0,2,29,7,1,2,6,2,2,1
25950,25950,4,7,1,1,0,0,1,0,2,19,11,4,1,6,1,1,0
11545,11545,5,7,1,1,0,0,0,0,0,19,6,0,2,-1,0,0,0
16455,16455,5,10,1,2,0,-1,1,1,2,23,7,1,10,-1,0,0,0
6557,6557,4,11,3,2,0,0,1,0,0,27,5,1,8,-1,0,0,0
37951,37951,3,7,3,1,0,0,1,0,2,14,5,0,4,11,1,1,0
36074,36074,4,3,2,3,0,0,1,0,2,11,5,1,4,-1,0,0,0
41067,41067,2,6,3,0,0,0,0,0,2,14,8,0,1,-1,0,0,0
37020,37020,4,7,1,1,0,0,1,0,2,13,5,6,2,10,1,1,1
44260,44260,5,7,2,2,0,0,1,0,0,22,7,0,1,26,3,3,0
3865,3865,5,11,1,2,0,0,1,1,0,16,5,3,2,-1,0,0,0
40458,40458,8,7,1,2,0,0,1,0,2,3,7,7,3,-1,0,0,0
22069,22069,4,10,1,2,0,0,0,0,2,20,8,2,4,-1,0,0,0
38178,38178,7,7,2,2,0,0,0,0,2,15,5,0,3,-1,0,0,0
31377,31377,3,3,1,3,0,0,1,0,2,23,3,2,4,-1,0,0,1
37819,37819,3,7,1,2,0,0,1,0,2,14,5,0,3,-1,0,0,0
23489,23489,7,3,1,2,0,0,0,0,2,28,8,0,18,-1,0,0,0
39983,39983,3,3,1,3,0,0,0,0,2,3,6,0,2,-1,0,0,0
42248,42248,12,9,2,2,0,0,0,0,2,12,11,1,1,-1,0,0,1
12937,12937,7,7,2,2,0,0,0,1,2,7,7,2,2,-1,0,0,0
28991,28991,4,11,3,3,0,0,1,0,2,2,2,2,1,8,2,1,0
32508,32508,3,7,1,2,0,0,1,1,2,17,4,0,1,-1,0,0,0
24299,24299,7,3,1,2,0,0,0,1,1,17,11,2,1,3,6,1,0
6155,6155,5,1,1,2,0,0,1,0,0,27,5,1,1,-1,0,0,0
44819,44819,8,3,2,0,0,0,0,0,2,16,9,3,1,3,5,3,1
7517,7517,4,10,1,2,0,0,1,0,0,30,5,1,3,-1,0,0,0
10748,10748,7,1,1,2,0,0,0,0,0,17,6,0,2,-1,0,0,0
42788,42788,9,10,1,2,0,0,1,0,2,28,1,0,3,3,4,3,0
27441,27441,8,2,3,1,0,1,0,0,2,21,11,3,3,-1,0,0,1
33245,33245,3,7,3,2,0,3,0,0,2,20,4,2,1,11,3,1,0
4838,4838,3,10,3,2,0,0,1,0,0,21,5,0,1,-1,0,0,0
15114,15114,3,11,2,2,0,0,0,0,2,17,7,0,1,-1,0,0,0
23322,23322,3,10,3,2,0,0,0,1,2,27,8,0,3,-1,0,0,0
5644,5644,9,9,2,2,0,0,1,0,0,26,5,1,6,-1,0,0,0
30571,30571,3,7,3,2,0,0,1,0,2,6,2,1,2,9,1,1,0
28597,28597,2,2,3,2,0,0,1,0,2,29,1,2,3,-1,0,0,0
25714,25714,7,11,1,0,0,0,0,1,2,19,11,0,1,5,1,2,0
31538,31538,4,1,3,2,0,0,1,0,2,2,4,2,3,-1,0,0,0
40747,40747,3,6,3,2,0,0,0,0,1,10,8,1,1,-1,0,0,0
5452,5452,2,7,3,2,0,0,1,0,0,23,5,3,3,-1,0,0,0
24731,24731,8,8,1,3,0,0,0,0,2,17,11,2,3,-1,0,0,0
36736,36736,4,3,3,3,0,0,1,0,2,12,5,0,1,10,1,3,0
19671,19671,8,7,1,1,0,0,0,1,2,7,8,0,1,-1,0,0,0
2423,2423,1,7,3,2,0,0,1,0,0,13,5,2,3,-1,0,0,0
22591,22591,6,11,1,2,0,0,0,0,2,22,8,1,6,-1,0,0,0
18752,18752,8,10,1,3,1,-1,0,0,2,31,7,2,8,-1,0,0,0
39595,39595,3,10,1,2,0,0,0,0,2,26,5,1,1,2,2,2,0
27592,27592,5,1,3,2,0,0,1,0,2,21,11,0,3,5,6,1,0
36465,36465,5,7,1,2,0,0,1,0,2,11,5,7,3,-1,0,0,1
40762,40762,3,1,1,2,0,0,1,0,2,10,8,1,1,3,1,2,0
11388,11388,7,9,1,1,0,0,0,0,0,19,6,2,3,-1,0,0,0
27060,27060,5,3,3,3,1,0,1,0,2,21,11,6,1,-1,0,0,1
39890,39890,6,3,1,3,0,0,1,0,2,2,6,1,1,3,2,1,0
21210,21210,6,5,1,2,0,0,0,0,2,18,8,0,6,-1,0,0,0
35667,35667,6,11,1,2,0,0,1,0,2,8,5,0,1,-1,0,0,0
32334,32334,4,10,2,2,0,0,1,0,2,16,4,7,1,-1,0,0,0
4220,4220,8,10,1,2,0,0,1,0,0,19,5,2,1,-1,0,0,0
261,261,3,3,3,3,0,0,1,0,0,5,5,0,2,-1,0,0,0
32274,32274,2,7,3,0,0,0,1,0,2,16,4,4,1,10,12,1,0
4243,4243,7,7,1,2,0,0,1,0,0,19,5,1,1,-1,0,0,0
21558,21558,3,10,1,2,0,0,0,0,2,19,8,1,2,-1,0,0,0
22672,22672,7,3,1,3,0,0,0,0,2,25,8,3,10,-1,0,0,0
3824,3824,4,7,1,2,0,0,1,0,0,16,5,2,2,-1,0,0,0
35818,35818,7,11,1,2,0,0,1,0,2,8,5,1,1,-1,0,0,0
20754,20754,3,3,3,3,0,0,1,1,2,13,8,3,2,-1,0,0,0
44646,44646,1,11,3,2,0,0,0,0,1,1,9,1,1,2,6,1,0
27943,27943,7,10,1,3,0,0,1,0,2,28,1,1,1,-1,0,0,0
9874,9874,7,7,2,1,0,0,0,0,0,9,6,0,1,-1,0,0,0
18599,18599,5,10,1,2,1,-1,0,1,1,31,7,0,16,-1,0,0,0
34663,34663,3,7,1,1,0,1,1,0,2,5,5,2,4,9,2,3,0
18588,18588,4,7,1,2,0,0,0,0,2,31,7,0,1,-1,0,0,0
18107,18107,2,4,1,1,0,0,1,1,2,30,7,0,4,-1,0,0,0
17099,17099,6,1,2,2,0,0,1,0,2,25,7,0,3,-1,0,0,0
17377,17377,4,5,1,2,0,0,1,0,2,28,7,2,2,-1,0,0,0
38692,38692,3,5,1,2,0,0,1,0,2,15,5,2,4,-1,0,0,0
12655,12655,2,7,3,2,0,0,0,1,0,4,7,1,1,-1,0,0,0
11666,11666,8,0,1,0,0,0,0,0,0,20,6,0,5,-1,0,0,0
13820,13820,6,3,1,3,0,0,1,0,2,10,7,2,1,-1,0,0,0
30254,30254,4,7,3,2,0,0,0,0,2,5,2,0,1,-1,0,0,0
26131,26131,8,7,1,2,0,0,1,1,2,19,11,2,6,6,1,3,0
20876,20876,7,7,1,1,0,0,0,1,2,13,8,1,3,-1,0,0,0
18591,18591,7,4,1,3,0,0,0,0,2,31,7,0,5,-1,0,0,0
35179,35179,3,10,2,2,0,0,1,1,2,7,5,2,1,-1,0,0,0
41726,41726,10,9,1,1,0,0,0,0,2,8,10,2,1,-1,0,0,0
28459,28459,3,1,3,2,0,0,1,0,2,29,1,2,1,-1,0,0,0
10102,10102,5,7,1,2,0,0,0,0,0,11,6,2,1,-1,0,0,0
8115,8115,3,8,3,3,0,0,1,0,0,2,6,0,1,-1,0,0,0
13328,13328,2,7,3,2,0,0,0,1,1,8,7,0,4,-1,0,0,0
30845,30845,4,7,1,2,0,0,1,0,1,9,2,0,5,-1,0,0,0
41124,41124,4,3,3,3,0,0,0,0,2,18,8,0,2,-1,0,0,0
34780,34780,4,10,3,2,0,0,1,0,2,6,5,2,1,-1,0,0,0
9975,9975,4,11,1,2,0,0,0,0,0,9,6,2,3,-1,0,0,0
6235,6235,3,7,1,2,0,0,1,0,0,27,5,3,2,-1,0,0,0
31830,31830,3,7,1,2,0,0,1,0,2,8,4,2,1,-1,0,0,0
27267,27267,3,3,1,3,0,1,1,0,2,21,11,1,2,3,3,3,0
2025,2025,2,7,1,2,0,0,1,0,0,9,5,2,3,-1,0,0,0
12877,12877,3,7,3,2,0,0,0,0,2,7,7,3,1,-1,0,0,0
6835,6835,3,11,3,2,0,-1,1,0,0,28,5,1,2,-1,0,0,0
10567,10567,8,9,1,3,0,0,0,0,0,16,6,4,3,-1,0,0,0
460,460,8,7,2,2,0,-1,0,0,0,6,5,0,1,-1,0,0,0
30931,30931,6,10,1,3,0,0,1,0,2,9,2,1,2,6,7,1,0
29183,29183,4,3,1,3,0,0,0,0,2,2,2,1,1,5,4,2,0
38705,38705,3,1,3,2,0,0,1,0,2,15,5,3,2,-1,0,0,0
10126,10126,4,8,1,3,0,0,0,0,0,11,6,0,2,-1,0,0,0
28572,28572,3,11,3,2,0,-1,0,1,2,29,1,1,2,-1,0,0,0
43356,43356,8,3,1,3,0,2,0,0,2,25,3,2,1,5,6,2,1
29427,29427,7,7,1,2,0,1,1,0,1,3,2,1,2,-1,0,0,0
18984,18984,6,10,1,2,0,0,0,0,2,4,8,4,2,-1,0,0,0
25880,25880,8,3,2,0,0,0,0,0,2,19,11,1,1,-1,0,0,0
9464,9464,6,5,1,3,0,0,0,0,0,6,6,3,1,-1,0,0,0
32300,32300,4,7,1,2,0,0,1,0,2,16,4,0,1,-1,0,0,0
19238,19238,7,3,2,3,0,0,0,0,2,6,8,0,2,-1,0,0,0
3535,3535,7,7,1,1,0,0,1,0,0,15,5,2,3,-1,0,0,0
42898,42898,2,11,3,3,0,0,0,0,2,4,2,2,1,3,1,2,0
2481,2481,6,11,1,2,0,0,1,0,0,13,5,0,1,-1,0,0,0
44710,44710,2,1,3,3,0,0,1,0,2,6,9,1,2,6,7,2,0
15350,15350,3,10,1,2,0,0,1,0,2,18,7,3,1,-1,0,0,0
28621,28621,4,10,2,2,0,0,1,1,2,29,1,4,2,8,1,1,0
26057,26057,7,3,1,3,0,0,0,0,2,19,11,2,4,3,2,1,0
15039,15039,5,1,1,2,0,-1,1,1,2,17,7,0,1,-1,0,0,0
7806,7806,4,10,1,2,0,-1,1,0,0,30,5,0,6,-1,0,0,0
15783,15783,9,9,2,1,0,0,0,1,1,21,7,0,1,-1,0,0,0
34376,34376,2,6,1,3,0,0,1,1,2,4,5,0,4,2,14,1,0
15328,15328,4,3,1,3,0,0,1,1,2,18,7,1,1,-1,0,0,0
1992,1992,3,5,2,3,0,0,1,0,0,9,5,1,2,-1,0,0,0
34817,34817,3,7,3,1,0,0,1,1,2,6,5,2,1,-1,0,0,0
7336,7336,4,1,2,2,0,0,1,0,0,29,5,1,1,-1,0,0,0
27324,27324,3,8,1,2,0,0,1,0,2,21,11,1,3,-1,0,0,0
1746,1746,3,3,3,2,0,0,1,0,0,9,5,3,2,-1,0,0,0
8348,8348,5,11,1,3,0,0,1,0,0,3,6,1,5,-1,0,0,0
41773,41773,4,10,2,2,0,0,0,0,2,13,10,2,1,1,2,1,1
27873,27873,5,7,1,1,0,0,0,0,2,28,1,3,1,-1,0,0,0
36784,36784,7,7,1,1,0,0,1,0,2,12,5,0,1,12,2,1,0
19716,19716,6,7,1,1,0,0,0,0,2,7,8,2,3,-1,0,0,0
2964,2964,8,7,1,2,0,0,1,0,0,14,5,1,2,-1,0,0,0
7437,7437,2,3,3,3,0,0,1,0,0,29,5,1,2,-1,0,0,0
38782,38782,2,1,3,2,0,0,1,0,2,18,5,0,4,11,6,3,0
33332,33332,1,6,3,0,0,0,0,0,2,20,4,1,2,-1,0,0,0
32184,32184,5,10,1,3,0,0,1,0,2,15,4,0,3,-1,0,0,0
8137,8137,7,8,1,3,0,0,1,0,0,2,6,0,3,-1,0,0,0
45005,45005,2,7,3,2,0,0,0,0,2,13,10,1,1,3,5,2,1
26008,26008,3,10,1,3,0,0,1,0,2,19,11,1,4,-1,0,0,0
19361,19361,8,9,1,1,0,0,1,0,2,6,8,0,2,-1,0,0,0
42132,42132,10,9,2,2,0,0,0,0,2,3,11,4,1,-1,0,0,1
25951,25951,6,7,2,1,0,0,1,0,2,19,11,5,2,-1,0,0,0
1290,1290,2,7,3,2,0,-1,1,0,0,8,5,1,1,-1,0,0,0
44885,44885,3,7,3,2,0,0,0,0,2,24,9,1,2,14,1,1,1
16483,16483,8,9,1,2,0,0,1,1,2,23,7,3,2,-1,0,0,0
14390,14390,7,3,1,3,0,0,1,0,2,14,7,0,3,-1,0,0,0
3992,3992,8,7,1,1,0,1,1,0,0,16,5,3,2,-1,0,0,0
4300,4300,7,7,1,2,0,0,1,1,0,19,5,1,13,-1,0,0,0
41770,41770,10,3,2,3,0,0,0,0,2,13,10,3,2,-1,0,0,1
36283,36283,3,7,2,2,0,-1,1,1,2,11,5,1,3,-1,0,0,0
16695,16695,6,3,1,2,0,0,1,0,2,24,7,0,2,-1,0,0,0
3884,3884,2,8,3,2,0,0,1,0,0,16,5,1,3,-1,0,0,0
1394,1394,4,7,1,2,0,0,1,0,0,8,5,0,2,-1,0,0,0
40667,40667,10,9,1,3,0,0,0,0,2,6,8,1,1,-1,0,0,0
5279,5279,3,3,3,3,0,2,0,0,0,23,5,2,1,-1,0,0,0
19886,19886,3,3,1,3,0,0,0,0,2,8,8,4,4,-1,0,0,1
12641,12641,8,9,1,2,0,0,0,1,0,4,7,0,2,-1,0,0,0
15216,15216,6,7,1,2,0,0,1,0,2,17,7,0,2,-1,0,0,0
15053,15053,3,1,2,2,0,0,0,1,2,17,7,5,1,-1,0,0,0
39731,39731,2,11,1,2,0,0,0,0,2,28,5,2,3,-1,0,0,0
19133,19133,4,10,1,2,0,0,0,0,2,5,8,3,1,-1,0,0,0
32069,32069,9,4,1,3,0,0,0,0,2,14,4,4,1,-1,0,0,1
388,388,8,3,1,3,0,0,1,1,0,6,5,10,1,-1,0,0,1
4884,4884,3,7,1,2,0,0,1,0,0,21,5,0,1,-1,0,0,0
45035,45035,6,1,1,2,0,0,0,0,2,18,10,4,1,3,3,2,1
37152,37152,6,1,2,2,0,0,1,0,1,13,5,1,3,-1,0,0,0
25504,25504,3,3,1,3,0,0,0,0,2,19,11,2,1,6,3,1,0
7173,7173,6,10,1,2,0,0,1,0,0,29,5,1,1,-1,0,0,0
30895,30895,3,8,3,3,0,-1,1,0,2,9,2,1,3,-1,0,0,0
28449,28449,3,5,3,3,0,0,1,0,2,29,1,4,1,-1,0,0,0
8300,8300,4,3,2,3,0,1,1,0,0,2,6,0,25,-1,0,0,0
32532,32532,9,9,1,1,0,0,0,0,2,17,4,0,1,-1,0,0,0
44911,44911,10,9,1,1,0,0,0,0,2,29,9,2,3,-1,0,0,1
24910,24910,5,3,1,3,0,0,1,0,2,18,11,3,4,-1,0,0,0
35675,35675,3,7,1,1,0,0,0,0,2,8,5,1,1,-1,0,0,0
26069,26069,4,3,2,3,0,0,1,0,1,19,11,1,2,5,2,2,0
36297,36297,4,11,1,2,0,1,1,0,2,11,5,3,1,5,6,1,1
11498,11498,6,3,1,3,0,1,0,0,0,19,6,3,3,-1,0,0,0
20361,20361,5,3,1,3,0,0,0,0,2,11,8,0,4,-1,0,0,0
41771,41771,7,5,2,3,0,0,0,0,2,13,10,0,2,-1,0,0,1
42835,42835,3,6,3,0,0,0,0,0,2,2,2,1,1,-1,0,0,1
40477,40477,9,3,1,3,0,0,0,0,2,6,7,2,3,-1,0,0,1
20830,20830,4,10,2,2,0,0,1,0,2,13,8,2,4,-1,0,0,0
14758,14758,6,3,1,3,0,0,1,0,2,16,7,0,4,-1,0,0,0
34496,34496,4,1,1,2,0,0,1,0,2,5,5,1,2,-1,0,0,0
6123,6123,6,7,1,2,0,0,1,0,0,27,5,0,1,-1,0,0,0
44969,44969,7,5,2,3,0,0,0,0,2,11,10,2,1,3,4,1,0
34483,34483,3,7,1,2,0,0,1,0,2,5,5,4,1,-1,0,0,1
10078,10078,4,10,1,3,0,0,0,0,0,11,6,1,4,-1,0,0,0
35123,35123,8,3,1,1,0,0,1,1,1,6,5,2,2,-1,0,0,0
35206,35206,5,1,1,2,0,0,1,0,2,7,5,1,1,-1,0,0,0
21963,21963,7,3,1,2,0,0,0,0,2,20,8,1,4,-1,0,0,0
5380,5380,2,7,1,1,0,0,1,0,0,23,5,0,1,-1,0,0,0
14335,14335,3,11,3,2,0,0,1,0,2,14,7,5,3,-1,0,0,0
20277,20277,6,11,1,2,0,0,0,0,2,11,8,1,6,-1,0,0,0
37972,37972,2,3,3,3,0,0,1,0,2,14,5,2,1,-1,0,0,0
14242,14242,2,11,3,2,0,-1,0,1,2,14,7,0,2,-1,0,0,0
6520,6520,3,8,3,3,0,0,0,0,0,27,5,5,7,-1,0,0,0
24808,24808,3,1,1,3,0,0,1,1,2,18,11,0,1,-1,0,0,0
1267,1267,4,1,1,2,0,0,1,1,0,8,5,1,1,-1,0,0,0
26612,26612,4,2,1,2,0,0,0,0,2,20,11,5,2,5,2,3,0
30319,30319,4,3,2,3,0,0,1,0,2,5,2,0,3,-1,0,0,0
14169,14169,5,5,2,3,0,0,1,0,2,11,7,7,2,-1,0,0,0
23701,23701,4,3,3,3,0,0,0,0,2,28,8,0,12,-1,0,0,0
21038,21038,5,7,2,2,0,0,0,0,2,14,8,5,2,-1,0,0,0
41532,41532,3,7,1,2,0,0,1,0,2,10,9,1,1,3,5,2,1
16865,16865,4,11,1,2,0,0,0,1,2,25,7,0,12,-1,0,0,0
24909,24909,3,10,3,2,0,0,1,0,2,18,11,2,1,5,2,1,0
33430,33430,2,6,3,2,0,0,0,0,2,20,4,1,1,-1,0,0,1
33023,33023,7,7,1,1,0,0,1,0,2,17,4,2,3,10,2,3,0
2835,2835,8,9,1,2,0,-1,1,0,0,14,5,2,1,-1,0,0,0
25747,25747,3,3,1,3,0,2,0,0,2,19,11,1,1,-1,0,0,0
45125,45125,5,3,2,3,0,0,0,0,2,26,10,1,2,-1,0,0,1
2279,2279,2,2,3,2,1,-1,1,0,0,12,5,0,3,-1,0,0,0
41401,41401,5,1,1,2,0,0,1,0,2,3,9,1,1,7,1,1,0
41671,41671,3,10,3,2,0,0,0,0,2,1,10,3,1,-1,0,0,0
30418,30418,3,1,1,2,0,0,1,0,2,5,2,0,4,-1,0,0,0
33174,33174,3,3,1,3,0,0,1,0,2,20,4,1,1,-1,0,0,0
23543,23543,5,10,2,2,0,0,0,0,2,28,8,1,2,-1,0,0,0
2007,2007,2,8,3,2,0,0,1,0,0,9,5,0,1,-1,0,0,0
44163,44163,2,7,3,2,0,0,0,0,2,13,7,2,3,6,2,2,1
23560,23560,8,9,1,2,0,0,0,0,2,28,8,0,4,-1,0,0,0
20744,20744,6,3,2,3,0,1,1,0,2,13,8,0,4,-1,0,0,0
22969,22969,6,2,1,1,0,0,0,0,2,26,8,1,2,-1,0,0,0
26047,26047,4,3,2,3,0,0,1,0,2,19,11,11,4,4,1,1,0
12085,12085,8,0,1,0,0,0,0,0,0,20,6,0,8,-1,0,0,0
